"term","estimate","std.error","statistic","p.value"
"(Intercept)",10.9960934679848,0.176340855153025,62.3570383530383,1.33336852662841e-234
"size_log",-0.885169718742293,0.0465555517917683,-19.0131935864801,1.00052161842896e-60
